index,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,cluster,distance
48024,0.977,['Yonatan Awate'],0.204,161500,0.00988,0,6CtgSHDxivSLqi4vjYCUs8,0.754,7,0.0974,-33.749,1,Continuation,68,2/7/2020,0.0435,69.683,0.0746,2020,0,21.148377137984493
16092,0.9840000000000001,['Moon Laika'],0.142,175132,0.013000000000000001,0,0ek2PwrDkUWRqoaTq6WKDj,0.909,7,0.0994,-33.299,1,Sleep Hibernation,67,6/14/2019,0.0428,72.917,0.0708,2019,0,21.291883435150236
55531,0.9470000000000001,['Zoe Handfield'],0.168,172500,0.00908,0,2vOE9PLXx3MTPy5E0dxPor,0.946,5,0.125,-33.966,0,Andromeda,62,8/16/2019,0.0443,68.775,0.396,2019,0,21.300321257728136
70302,0.995,['Bela Nemeth'],0.253,154663,0.00611,0,6gp6sejiJXYU1i6xHPf8hh,0.9590000000000001,4,0.0861,-29.25,1,This Moment,63,2/7/2017,0.0489,81.02,0.309,2017,0,21.364825528146135
77993,0.17600000000000002,['chillchild'],0.149,156807,0.0988,0,48zUSuNPWf2yFkzGu0BTv8,0.8809999999999999,0,0.0937,-28.783,1,Our Beginning,61,2/5/2020,0.0536,81.598,0.0342,2020,0,21.387767662522073
70492,0.9620000000000001,['Michel LeBond'],0.10099999999999999,200342,0.0724,0,2HFa8YQM9xXsaqquv8efKI,0.8420000000000001,1,0.109,-31.13,1,Primordeal Instincts,62,8/27/2019,0.0416,78.438,0.0352,2019,0,21.421269971363156
32210,0.9940000000000001,['Night Poets'],0.324,237861,0.00249,0,7zoNjIq4DZadcFOxwKvrlC,0.946,0,0.11,-34.247,1,Parts Unknown,68,1/13/2020,0.0351,67.725,0.0362,2020,0,21.541615848773393
16096,0.9940000000000001,['Matilda Charpie'],0.217,245750,0.0016899999999999999,0,4FE9jhuatcOZZYoHdBDN8T,0.912,0,0.139,-34.121,1,Crépuscule,69,6/1/2019,0.0425,64.118,0.0599,2019,0,21.682170355896687
70511,0.992,['Scintillante'],0.22399999999999998,199750,0.00828,0,3sAJq6EDW2iNSJnHwLzSqV,0.875,2,0.0996,-31.721999999999998,1,Notte,67,5/10/2019,0.0366,78.001,0.069,2019,0,21.717246812485804
70565,0.985,['Rosa Løvstrøm'],0.111,158000,0.0118,0,3SwiMJxBE5eqYdbXJBRtiT,0.917,2,0.10800000000000001,-31.874000000000002,1,Noctis,66,6/7/2019,0.0403,77.891,0.0812,2019,0,21.801397189768025
40102,0.99,['Artura Ponce Valles'],0.203,187250,0.00588,0,3CkHOquzU3g6ekoYiuo5Fo,0.8290000000000001,5,0.11800000000000001,-34.66,1,No me despiertes,67,6/22/2019,0.0391,69.468,0.0418,2019,0,22.036876887626907
77927,0.9209999999999999,['Binaural Landscapes'],0.154,215063,0.046,0,6SxcRJNPDlwiciVkzxu0oC,0.754,9,0.107,-33.115,0,Polar Drone,62,4/1/2019,0.0478,76.256,0.0342,2019,0,22.197968318430068
77997,0.988,['Yue Yan Jen'],0.115,196500,0.0535,0,4na8bW6oc43oxwage8huso,0.912,2,0.109,-34.856,1,守得云开见月明 - Every cloud has a silver lining,62,2/28/2020,0.0323,69.23899999999999,0.244,2020,0,22.217102874723
31828,0.00139,['Sleepy Times'],0.0627,199613,0.42700000000000005,0,4bVJHJ4CDyqrWlcTulUsmj,0.888,1,0.594,-33.080999999999996,1,"Thunderstorm for Relaxing Sleep, Pt. 47",56,1/12/2016,0.0753,58.295,0.0303,2016,0,22.384151786210815
55499,0.987,['Vas Bela'],0.201,152000,0.0027199999999999998,0,2qHGPanT2ux9hwZDbmPr8t,0.879,10,0.11599999999999999,-35.169000000000004,1,Éjszakai,68,6/22/2019,0.040999999999999995,68.22,0.0992,2019,0,22.471340517966997
40157,0.9740000000000001,['Najma Wallin'],0.175,133500,0.00759,0,6RuFOroO9VO0aMGEzirLHk,0.925,7,0.113,-35.071999999999996,1,Med slutna ögon,68,2/21/2020,0.0454,70.872,0.0838,2020,0,22.61632802123556
7726,0.9309999999999999,['Deep Sleep Music Collective'],0.0657,118988,0.00183,0,1NFpzFtGDWbtSCaXzxi1t7,0.98,1,0.11599999999999999,-34.484,1,Ocean Beauty,62,11/7/2016,0.0462,73.61,0.0396,2016,0,22.62005032498657
40123,0.9940000000000001,['Keira Conlon'],0.23199999999999998,153500,0.00449,0,72mDETn3Ba8yVewAcqnlqQ,0.852,1,0.0705,-34.69,0,Lyrebird,68,6/14/2019,0.0375,73.35600000000001,0.0988,2019,0,22.743527002778723
