artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Tom Glazer,0.8832500000000001,0.7585,0.22175,0.0007698849999999999,0.138025,-14.820249999999998,0.31975000000000003,142.14325,0.7415
Tom Gregory,0.21,0.758,0.848,0.0,0.114,-3.84,0.0457,127.96,0.706
Tom Hangs,0.0447,0.631,0.925,0.0773,0.133,-4.123,0.0423,125.993,0.414
Tom Hanks,0.353,0.67,0.879,0.0,0.0988,-6.37,0.108,145.2,0.517
Tom Hulce,0.8170000000000002,0.2798,0.2098,1.4635999999999993e-05,0.07605999999999999,-17.805,0.04038,117.5642,0.2046
Tom Johnston,0.0139,0.8059999999999999,0.507,0.0144,0.0651,-12.630999999999998,0.0323,114.058,0.6759999999999999
Tom Jones,0.4754295081967213,0.4223114754098359,0.5183606557377051,0.0005904400000000003,0.24625901639344264,-10.941442622950824,0.06288196721311473,114.73742622950822,0.5462950819672131
Tom Kenny,0.622,0.395,0.947,0.0,0.667,-5.102,0.449,64.594,0.302
Tom Krause,0.971,0.242,0.35600000000000004,0.0306,0.161,-13.189,0.046,89.20200000000001,0.152
Tom Lehrer,0.9226326530612244,0.5616938775510203,0.4288367346938773,3.0938775510204084e-07,0.6424836734693878,-14.79448979591836,0.6699551020408162,112.4273673469388,0.6536122448979589
Tom Lord-Alge,0.021824633333333333,0.5660000000000001,0.7288333333333332,0.12455666666666665,0.1261333333333333,-7.678,0.0619,148.56933333333333,0.7174999999999999
Tom MacDonald,0.168,0.7415,0.7290000000000001,0.0,0.0938,-4.808,0.263,105.172,0.5495
Tom Misch,0.3399000000000001,0.7346666666666667,0.4478333333333333,0.014806333333333331,0.1855,-9.4495,0.11683333333333333,107.52433333333336,0.17466666666666664
Tom Morello,0.18600000000000005,0.508,0.7713333333333333,0.6000149333333333,0.34,-9.089333333333334,0.21739999999999995,115.413,0.5453333333333333
Tom Moulton,0.0853,0.879,0.226,0.0,0.196,-17.999000000000006,0.0463,107.071,0.606
Tom Newton,0.928,0.111,0.031,0.957,0.0959,-27.134,0.036000000000000004,86.208,0.0394
Tom Odell,0.7514727272727274,0.4960000000000001,0.4183636363636363,0.006928012727272732,0.11509090909090908,-9.863818181818182,0.04006363636363637,109.02945454545453,0.20400000000000007
Tom Paxton,0.8623333333333333,0.6016666666666667,0.23930000000000004,0.0003065166666666667,0.16900000000000004,-13.067666666666666,0.03385,99.14033333333334,0.5665
Tom Petty,0.15691553623188412,0.576333333333333,0.6402173913043478,0.03667378768115942,0.20156231884057968,-9.531217391304343,0.03222608695652174,118.5101304347826,0.6077101449275362
Tom Petty and the Heartbreakers,0.15997789300411508,0.53835390946502,0.7048798353909466,0.015785828724279832,0.2876687242798352,-7.784185185185188,0.037413991769547315,124.21727160493816,0.6281316872427983
Tom Pierson,0.2201272727272727,0.5781818181818184,0.6655454545454546,0.002196254545454546,0.313,-10.04636363636364,0.11872727272727275,123.76372727272732,0.5586363636363636
Tom Robinson Band,0.0578,0.672,0.706,7.43e-05,0.0595,-5.551,0.0779,124.782,0.6579999999999999
Tom Rosenthal,0.871,0.561,0.111,0.205,0.103,-15.11,0.0324,148.191,0.0607
Tom Rush,0.5995235294117648,0.5418235294117647,0.2984294117647059,0.2403941176470588,0.20690000000000008,-16.792588235294108,0.03992941176470589,103.56717647058822,0.4133941176470588
Tom Russell,0.818,0.575,0.4270000000000001,3.36e-06,0.146,-10.037,0.0686,109.539,0.529
Tom Scott,0.5670000000000001,0.3325,0.4455,0.42255,0.08895,-13.122,0.0406,107.5255,0.29525
Tom Smothers,0.88,0.672,0.311,0.0,0.118,-13.822,0.045,140.465,0.841
Tom T. Hall,0.6921724137931036,0.5884482758620687,0.41189655172413786,0.00821427,0.21198965517241386,-14.704275862068961,0.03995517241379309,126.80931034482772,0.8008620689655171
Tom Tom Club,0.05486900000000002,0.8540999999999999,0.5401,0.31986479999999984,0.12921000000000002,-14.292599999999998,0.07051999999999999,113.33329999999997,0.7687
Tom Trefethen,0.243,0.6759999999999999,0.508,0.0,0.435,-8.836,0.0263,95.407,0.54
Tom Verlaine,0.107,0.547,0.6859999999999999,0.000708,0.154,-9.751,0.0383,116.595,0.833
Tom Waits,0.7104228813559321,0.5412542372881357,0.3376604237288134,0.0881322836440678,0.2102898305084748,-14.077516949152525,0.09591186440677964,113.19349152542368,0.4549279661016949
Tom Walker,0.0153,0.586,0.624,1.78e-06,0.133,-5.9460000000000015,0.113,68.976,0.267
Tom Wilson,0.622,0.395,0.947,0.0,0.667,-5.102,0.449,64.594,0.302
Tom Wopat,0.7659999999999999,0.561,0.5589999999999999,0.0,0.342,-6.026,0.174,81.535,0.504
Tom Zé,0.493,0.6447999999999999,0.5398,3.508e-06,0.15804,-10.2796,0.10814000000000001,136.2688,0.7262000000000001
TomSka,0.205,0.911,0.8420000000000001,1.4800000000000002e-05,0.115,-4.845,0.0922,112.016,0.578
Toma Tu Lugar,0.7153333333333333,0.3313333333333333,0.26333333333333336,0.0,0.118,-13.646666666666668,0.0345,137.85866666666666,0.133
Tomahawk,0.00942,0.585,0.725,0.0378,0.399,-6.7879999999999985,0.1,146.11,0.7140000000000001
Tomas et ses Merry Boys,0.705,0.77,0.65,0.0,0.7509999999999999,-8.845,0.0954,131.916,0.823
Tomaso Albinoni,0.6697500000000001,0.15125,0.117475,0.8737499999999999,0.14650000000000002,-19.9035,0.040375,72.73425,0.0455
Tomaso Antonio Vitali,0.569,0.17,0.4370000000000001,0.8809999999999999,0.513,-9.835,0.0372,80.34899999999998,0.0679
Tomatito,0.5920000000000001,0.7390000000000001,0.701,0.0,0.116,-5.5420000000000025,0.0516,128.02200000000002,0.633
Tomine Harket,0.131,0.43,0.606,0.0,0.173,-5.115,0.0431,169.988,0.123
Tommar Wilson,0.431,0.76,0.605,0.0,0.141,-8.782,0.3720000000000001,105.69,0.452
Tommee Profitt,0.24435,0.6575,0.7050000000000001,0.01665,0.23399999999999999,-5.7079999999999975,0.0779,104.044,0.2065
Tommy Alverson,0.17450000000000002,0.6940000000000001,0.7515000000000001,0.0003675,0.0984,-7.0870000000000015,0.0267,134.841,0.958
Tommy Blake,0.325,0.49,0.7390000000000001,0.00566,0.0776,-8.979,0.0452,136.108,0.73
